,latitude,longitude,co2,pm25,pm10
0,38.02478,-78.48458,456.0836820083682,1.6778242677824269,1.891213389121339
1,38.025092,-78.503586,377.5744680851064,1.8085106382978724,1.872340425531915
2,38.02557,-78.51661,666.3461538461538,1.5769230769230769,1.5769230769230769
3,38.025759,-78.469295,424.80837563451774,2.4276649746192893,2.703045685279188
4,38.02758,-78.515191,400.53472222222223,1.5694444444444444,1.8402777777777777
5,38.029883,-78.484047,492.3377777777778,1.9807407407407407,2.259259259259259
6,38.030613,-78.479057,322.4673202614379,3.6666666666666665,4.130718954248366
7,38.045801,-78.503947,578.65625,2.0208333333333335,2.3125
8,38.04745,-78.48303,366.53980891719743,2.2579617834394905,2.644904458598726
9,38.06546,-78.49582,422.1343042071197,2.2184466019417477,2.2880258899676376
