,dev_id,latitude,longitude,co2,pm25,pm10
0,2.0,38.02599999999927,-78.50099999999969,534.9552160168598,1.8724973656480506,1.9562697576396206
1,3.0,38.01998300000042,-78.47360200000224,445.54657293497365,1.2587873462214412,1.4705623901581721
2,4.0,38.047449999998555,-78.4830300000024,460.54317673378074,1.5901565995525726,1.832214765100671
3,5.0,38.03562000000052,-78.49190110000114,545.5335320417288,1.7421758569299552,2.1266766020864383
4,6.0,38.027580000001194,-78.51519099999886,330.6397379912664,1.5036390101892285,1.8500727802037846
5,7.0,38.02556999999991,-78.51661000000132,577.9237704918032,1.4270491803278689,1.8442622950819672
6,8.0,38.029882999998804,-78.484047000004,456.08310016787914,1.9280917739227756,2.407386681589256
7,9.0,38.02575899999764,-78.46929499999668,417.92485981308414,2.0306542056074766,2.285981308411215
8,10.0,38.03061299999883,-78.47905699999639,459.73574408901254,2.8522253129346313,3.1620305980528514
9,11.0,38.029883000000574,-78.48404700000421,490.1476843100189,1.6765122873345937,1.9706994328922496
